話数,吹き出し1,吹き出し2,吹き出し3,吹き出し4,吹き出し5,吹き出し6
彼女は祈りを忘れた 第11話,第11話：祈りの力,そのとき、かすかに誰かの泣き声が聞こえた。彼女は祈りを忘れた 第11話の裏に隠された秘密に、彼の心は引き裂かれそうになる。,彼はゆっくりと歩を進めた。古びた石畳に足を踏み出すたびに、過去の記憶が鮮明に蘇る。,祭壇の上には誰かの手によって置かれたであろう古びた日記があった。そこには彼女の名前と、祈りの意味が綴られていた。,ページをめくるたび、彼は徐々にこの村の“祈り”の真実に近づいていく。そして、それが彼女の選択と深く結びついていることを知る。,オレは決断を迫られた。
彼女は祈りを忘れた 第12話,第12話：選択の刻,そのとき、かすかに誰かの泣き声が聞こえた。彼女は祈りを忘れた 第12話の裏に隠された秘密に、彼の心は引き裂かれそうになる。,彼はゆっくりと歩を進めた。古びた石畳に足を踏み出すたびに、過去の記憶が鮮明に蘇る。,祭壇の上には誰かの手によって置かれたであろう古びた日記があった。そこには彼女の名前と、祈りの意味が綴られていた。,ページをめくるたび、彼は徐々にこの村の“祈り”の真実に近づいていく。そして、それが彼女の選択と深く結びついていることを知る。,だがオレは…
彼女は祈りを忘れた 第13話,第13話：別れの儀式,そのとき、かすかに誰かの泣き声が聞こえた。彼女は祈りを忘れた 第13話の裏に隠された秘密に、彼の心は引き裂かれそうになる。,彼はゆっくりと歩を進めた。古びた石畳に足を踏み出すたびに、過去の記憶が鮮明に蘇る。,祭壇の上には誰かの手によって置かれたであろう古びた日記があった。そこには彼女の名前と、祈りの意味が綴られていた。,ページをめくるたび、彼は徐々にこの村の“祈り”の真実に近づいていく。そして、それが彼女の選択と深く結びついていることを知る。,オレは何も言えなかった。
彼女は祈りを忘れた 第14話,第14話：目覚め,そのとき、かすかに誰かの泣き声が聞こえた。彼女は祈りを忘れた 第14話の裏に隠された秘密に、彼の心は引き裂かれそうになる。,彼はゆっくりと歩を進めた。古びた石畳に足を踏み出すたびに、過去の記憶が鮮明に蘇る。,祭壇の上には誰かの手によって置かれたであろう古びた日記があった。そこには彼女の名前と、祈りの意味が綴られていた。,ページをめくるたび、彼は徐々にこの村の“祈り”の真実に近づいていく。そして、それが彼女の選択と深く結びついていることを知る。,それが現実だった証拠だった。
彼女は祈りを忘れた 第15話,第15話：封印の継承,そのとき、かすかに誰かの泣き声が聞こえた。彼女は祈りを忘れた 第15話の裏に隠された秘密に、彼の心は引き裂かれそうになる。,彼はゆっくりと歩を進めた。古びた石畳に足を踏み出すたびに、過去の記憶が鮮明に蘇る。,祭壇の上には誰かの手によって置かれたであろう古びた日記があった。そこには彼女の名前と、祈りの意味が綴られていた。,ページをめくるたび、彼は徐々にこの村の“祈り”の真実に近づいていく。そして、それが彼女の選択と深く結びついていることを知る。,オレの運命は変わってしまった。
彼女は祈りを忘れた 第16話,第16話：神隠し,そのとき、かすかに誰かの泣き声が聞こえた。彼女は祈りを忘れた 第16話の裏に隠された秘密に、彼の心は引き裂かれそうになる。,彼はゆっくりと歩を進めた。古びた石畳に足を踏み出すたびに、過去の記憶が鮮明に蘇る。,祭壇の上には誰かの手によって置かれたであろう古びた日記があった。そこには彼女の名前と、祈りの意味が綴られていた。,ページをめくるたび、彼は徐々にこの村の“祈り”の真実に近づいていく。そして、それが彼女の選択と深く結びついていることを知る。,そこにいたのは…彼女だった。
彼女は祈りを忘れた 第17話,第17話：真実の声,そのとき、かすかに誰かの泣き声が聞こえた。彼女は祈りを忘れた 第17話の裏に隠された秘密に、彼の心は引き裂かれそうになる。,彼はゆっくりと歩を進めた。古びた石畳に足を踏み出すたびに、過去の記憶が鮮明に蘇る。,祭壇の上には誰かの手によって置かれたであろう古びた日記があった。そこには彼女の名前と、祈りの意味が綴られていた。,ページをめくるたび、彼は徐々にこの村の“祈り”の真実に近づいていく。そして、それが彼女の選択と深く結びついていることを知る。,でももう遅かった。
彼女は祈りを忘れた 第18話,第18話：解放,そのとき、かすかに誰かの泣き声が聞こえた。彼女は祈りを忘れた 第18話の裏に隠された秘密に、彼の心は引き裂かれそうになる。,彼はゆっくりと歩を進めた。古びた石畳に足を踏み出すたびに、過去の記憶が鮮明に蘇る。,祭壇の上には誰かの手によって置かれたであろう古びた日記があった。そこには彼女の名前と、祈りの意味が綴られていた。,ページをめくるたび、彼は徐々にこの村の“祈り”の真実に近づいていく。そして、それが彼女の選択と深く結びついていることを知る。,鈴の音が、最後に鳴った。
彼女は祈りを忘れた 第19話,第19話：静寂の村,そのとき、かすかに誰かの泣き声が聞こえた。彼女は祈りを忘れた 第19話の裏に隠された秘密に、彼の心は引き裂かれそうになる。,彼はゆっくりと歩を進めた。古びた石畳に足を踏み出すたびに、過去の記憶が鮮明に蘇る。,祭壇の上には誰かの手によって置かれたであろう古びた日記があった。そこには彼女の名前と、祈りの意味が綴られていた。,ページをめくるたび、彼は徐々にこの村の“祈り”の真実に近づいていく。そして、それが彼女の選択と深く結びついていることを知る。,祠の前に、一通の手紙が落ちていた。
彼女は祈りを忘れた 第20話,第20話：祈りの継承者,そのとき、かすかに誰かの泣き声が聞こえた。彼女は祈りを忘れた 第20話の裏に隠された秘密に、彼の心は引き裂かれそうになる。,彼はゆっくりと歩を進めた。古びた石畳に足を踏み出すたびに、過去の記憶が鮮明に蘇る。,祭壇の上には誰かの手によって置かれたであろう古びた日記があった。そこには彼女の名前と、祈りの意味が綴られていた。,ページをめくるたび、彼は徐々にこの村の“祈り”の真実に近づいていく。そして、それが彼女の選択と深く結びついていることを知る。,だがいつか、また誰かが祈る日が来るだろう。
